Country,Country Code,Indicator,Indicator Code,Year,Value
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,46.501
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,324.9968716
Angola,AGO,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,
Angola,AGO,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,2000,74912
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,6.203552126
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,12027.49498
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,2000,901003703.7
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,74.819
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,0.771779797
Antigua and Barbuda,ATG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,
Antigua and Barbuda,ATG,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,
Arab World,ARB,"Population, total",SP.POP.TOTL,2000,286548096
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,6.336191443
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,2664.125447
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2000,7.634E+11
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,66.89069989
Arab World,ARB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,1.853790353
Arab World,ARB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,
Arab World,ARB,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,
Argentina,ARG,"Population, total",SP.POP.TOTL,2000,37213984
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,-0.788998939
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,7637.014892
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,2000,2.84204E+11
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,73.91
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,
Argentina,ARG,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,2.702391309
Argentina,ARG,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,-0.157568635
Armenia,ARM,"Population, total",SP.POP.TOTL,2000,3221100
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,5.900000003
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,593.4505817
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,2000,1911563669
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,72.8804878
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,-0.790883769
Armenia,ARM,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,18.75948212
Armenia,ARM,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,7.02325909
Aruba,ABW,"Population, total",SP.POP.TOTL,2000,90588
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,7.622920649
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,20681.02303
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2000,1873452514
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,72.939
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,4.044021312
Aruba,ABW,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,
Aruba,ABW,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,
Australia,AUS,"Population, total",SP.POP.TOTL,2000,19028802
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.916057488
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,21908.9968
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,2000,4.16902E+11
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,79.23414634
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,4.457437059
Australia,AUS,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,9.891769444
Australia,AUS,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,12.04750436
Austria,AUT,"Population, total",SP.POP.TOTL,2000,8011566
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,3.18952293
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,24487.29747
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,2000,1.96182E+11
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,78.12682927
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,2.344862854
Austria,AUT,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,13.52458149
Austria,AUT,Imports of goods and services (annual % growth),NE.IMP.GNFS.KD.ZG,2000,10.18625769
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,2000,8048600
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2000,11.09999914
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,655.0972496
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,2000,5272615723
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,2000,65.377
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2000,1.805003037
Azerbaijan,AZE,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,2000,22.98503553
